gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,0.1023712383613841,0,1,0,0,2,0,2,2,0,-0.5219756496159262,-0.26225719995201097,False,False,False,False,False,True,False
1,0,1,1,-0.7117434584104956,1,0,2,0,0,0,0,0,0,0.3374778078243394,-0.5036347857749957,True,False,False,False,False,False,True
1,0,1,1,-0.7931549280876836,0,1,2,2,0,2,0,0,0,-0.8090131942822701,-0.7498829245931361,False,False,False,True,False,False,True
0,0,1,0,-0.2639803751859618,1,0,0,2,2,0,2,2,1,0.2843841579438598,-0.17272239466719,False,False,False,True,True,False,False
1,0,1,1,-1.2816237461508113,1,0,0,0,0,0,0,0,0,-0.6762790695810708,-0.9893737196161955,False,False,False,False,False,True,False
1,0,0,1,1.3642490183577978,1,0,0,2,2,2,2,2,1,0.48348534499565887,1.2710674769778725,False,False,False,True,True,False,False
0,0,0,0,-1.2816237461508113,1,0,1,1,1,1,1,1,0,-1.497571466169742,-1.0002337364297182,False,True,False,False,True,False,False
0,0,1,0,0.30589991255435406,1,2,0,2,0,0,0,0,0,-0.27641751891870747,0.03500010874782714,False,False,False,False,True,False,False
0,0,1,0,1.3235432835192036,1,0,0,0,0,2,2,0,1,-0.17023021915774814,0.6620728371601656,False,False,False,True,True,False,False
0,0,0,0,1.1200146093262338,1,2,0,0,2,2,2,2,0,0.5183280527297236,1.1179083307653424,False,False,True,False,True,False,False
0,1,0,0,-1.1188008067964355,1,0,2,2,0,2,0,0,0,-0.1669118660402181,-0.8826164634250809,False,False,False,False,True,False,False
0,0,1,1,-1.1188008067964355,1,0,2,0,0,0,0,0,1,-0.5153389433808665,-0.9068814706892347,False,False,False,False,False,False,True
0,0,0,0,-1.2409180113122174,1,0,2,0,0,0,0,0,0,-0.46390447005915153,-0.9549288178036082,False,False,False,False,False,False,True
1,0,1,1,-0.10115743583158582,1,2,2,2,2,2,0,0,0,0.08860132400959055,-0.13125687592464852,False,False,False,False,False,True,False
1,0,1,0,0.14307697319997809,1,2,0,0,0,0,2,2,1,1.0111034906829266,0.5155174587473736,True,False,False,False,False,True,False
0,0,1,1,0.9164859351332638,1,0,0,0,0,0,0,0,1,0.1367174442137754,0.677167163559567,True,False,False,True,True,False,False
0,0,0,0,-0.06045170099299184,1,2,2,0,2,0,0,0,1,0.6576988836659831,0.1378082679158427,True,False,False,False,True,False,False
0,1,1,1,-0.1825689055087738,0,1,0,0,0,0,2,0,1,-0.9633166142474143,-0.5816952702649228,False,False,False,False,False,True,False
1,0,0,0,-0.6710377235719016,1,0,1,1,1,1,1,1,0,-1.5257774676687466,-0.8655256490862239,False,True,False,True,True,False,False
1,0,0,0,-1.0780950719578415,1,0,1,1,1,1,1,1,0,-1.4859572302583868,-0.9516598430455984,False,True,False,False,False,False,False
1,1,1,0,-0.22327464034736777,1,2,2,0,2,0,0,0,1,0.695859944517578,-0.034767271993591815,True,False,True,False,False,True,False
1,0,0,0,1.0386031396490458,1,2,1,1,1,1,1,1,1,-1.3150620447055927,-0.3619938392131716,False,True,False,True,True,False,False
1,0,1,1,1.6084834273893616,1,2,2,2,2,2,0,2,1,1.326347036848275,2.3840765940825652,True,False,False,True,True,False,False
0,0,0,0,-0.1825689055087738,0,1,0,0,2,2,0,0,1,-0.9682941439237093,-0.587070430101919,False,False,False,False,False,False,True
1,0,1,1,0.30589991255435406,1,0,0,0,2,0,2,0,1,0.667653943018573,0.463499075181995,True,False,True,False,False,True,False
1,0,0,0,-1.2816237461508113,1,0,1,1,1,1,1,1,0,-1.4743429943470319,-0.9999265844390328,False,True,False,False,False,False,True
0,0,0,0,-1.1188008067964355,1,0,0,0,0,0,0,2,1,0.5000771105833088,-0.8279214696551572,True,False,False,False,False,True,False
0,0,0,0,-1.2816237461508113,1,0,0,0,0,0,0,0,1,0.14169497389007057,-0.978557581658485,True,False,False,False,False,True,False
0,0,0,1,-0.8338606629262776,1,2,0,2,2,0,2,2,1,1.3396204493183947,-0.4491811257120391,True,False,False,False,False,True,False
1,0,0,0,-1.1188008067964355,1,0,0,0,0,2,2,2,1,1.034331962505636,-0.809975017627962,True,False,False,False,False,True,False
1,0,1,0,1.5677776925507676,1,0,2,2,2,2,2,2,1,0.7024966507526377,1.64394999367006,False,False,False,True,False,False,False
1,0,0,0,-1.2002122764736234,1,2,0,0,0,0,0,0,1,0.39886734049864436,-0.9087024432054416,True,False,False,False,False,True,False
0,0,1,0,-0.10115743583158582,1,0,1,1,1,1,1,1,0,-1.5025489958460367,-0.7211422740361364,False,True,False,False,False,False,False
0,0,1,0,-0.30468611002455576,1,0,1,1,1,1,1,1,1,-1.4842980536996218,-0.7860610412103057,False,True,True,False,False,False,False
1,0,1,1,0.7943687306174818,1,2,1,1,1,1,1,1,0,-1.3399496930870676,-0.42487223959207304,False,True,False,True,False,False,True
0,1,0,0,0.5501343215859179,1,2,2,2,2,0,2,2,1,1.495583045842304,1.1300847132532315,True,False,True,False,False,True,False
1,0,0,0,-0.9559778674420595,1,0,0,0,0,0,0,0,1,0.18483356441796028,-0.7465700709793139,True,False,False,False,False,True,False
0,0,1,0,-0.5489205190561197,1,2,0,0,0,0,2,0,1,0.7273842991341125,-0.32248092955427354,True,False,False,False,False,True,False
0,0,0,0,-0.8338606629262776,1,0,0,2,0,0,0,0,1,-0.5153389433808665,-0.7405367283051346,False,False,False,False,False,True,False
1,1,1,0,0.5094285867473239,1,2,0,2,2,2,2,0,1,1.1206091435614158,0.9769475064686075,True,False,True,False,False,False,False
0,0,1,1,0.14307697319997809,1,2,2,0,2,0,2,2,1,1.313073624378155,0.6079921473716129,True,False,False,False,True,False,False
1,0,0,0,0.22448844287716607,1,2,0,2,2,0,0,2,1,1.0011484313303363,0.6107345758598762,True,False,False,False,True,False,False
1,0,1,1,-1.2816237461508113,1,0,1,1,1,1,1,1,0,-1.5174815848749215,-1.0004970095645918,False,True,False,False,False,False,True
1,0,1,0,-0.9152721326034655,1,2,0,0,2,0,2,2,1,1.113972437326356,-0.5535689236892943,True,False,False,False,False,True,False
1,0,1,1,-0.7931549280876836,1,0,0,0,0,0,0,0,0,-0.6679831867872458,-0.7635511881786404,False,False,False,False,False,False,False
1,0,0,0,-0.5896262538947137,1,2,0,0,2,2,2,2,1,0.5664441729339085,-0.3834505997053438,False,False,True,False,True,False,False
0,0,1,0,0.18378270803857208,0,1,2,0,0,2,2,0,0,-0.6480730680820658,-0.30988769793616844,False,False,False,True,False,True,False
1,0,0,1,-1.1188008067964355,1,0,1,1,1,1,1,1,0,-1.4793205240233267,-0.9553895457896364,False,True,False,False,True,False,False
1,0,0,0,-0.8745663977648716,1,0,0,2,0,0,0,0,0,0.33250027814804467,-0.6510896807319381,True,False,False,False,False,True,False
1,0,0,1,1.2828375486806096,1,0,0,2,0,2,2,2,1,1.135541732590301,1.698930200002763,True,False,False,False,True,False,False
1,0,0,0,-1.2816237461508113,1,0,0,0,0,0,0,2,0,-0.3112602266527725,-0.984547045476852,False,False,False,False,False,False,True
1,1,1,0,0.18378270803857208,1,2,0,0,0,0,2,2,1,0.9148712502745568,0.5151664279008761,True,False,False,False,False,True,False
0,0,1,1,0.631545791263106,1,2,2,2,0,0,2,2,1,1.3379612727596297,1.183924069334817,True,False,False,False,True,False,False
1,1,1,0,-0.5082147842175256,1,2,0,0,0,0,2,2,1,0.9828974891839214,-0.17537706544382886,True,False,False,False,False,True,False
0,0,0,0,-0.2639803751859618,1,2,2,2,0,0,2,0,1,0.15165003324266044,-0.21908040583279326,False,False,False,False,False,False,False
0,0,0,0,-0.10115743583158582,1,0,1,1,1,1,1,1,0,-1.5108448786398618,-0.7550825690068833,False,True,False,True,True,False,False
0,0,0,0,1.4863662228735797,1,2,2,2,0,2,0,0,1,0.06537285218688103,0.9998083903467704,False,False,False,True,False,False,True
1,0,1,1,1.2421318138420157,1,2,2,2,2,2,2,2,1,0.8120023036311275,1.4472630224918142,False,False,False,True,True,False,False
1,0,1,0,-1.1188008067964355,1,0,1,1,1,1,1,1,0,-1.5125040551986266,-0.9536124521292417,False,True,False,False,False,False,True
1,0,1,0,0.26519417771576004,1,0,1,1,1,1,1,1,1,-1.4760021709057967,-0.6622787889640525,False,True,False,True,False,False,False
1,0,0,1,-1.1595065416350294,1,2,0,2,0,0,2,2,1,1.2201597370873154,-0.8489613810171134,True,False,False,False,False,True,False
1,0,1,0,1.1200146093262338,1,2,0,0,2,0,2,2,0,1.2019087949409006,1.6533839476696857,True,False,False,True,True,False,False
1,0,1,1,-0.5489205190561197,1,2,0,0,2,2,2,2,0,1.273253386967795,-0.12577201894812187,True,False,False,False,False,True,False
0,0,1,0,-0.8745663977648716,1,2,0,2,0,0,2,2,1,1.2301147964399053,-0.5063552748353529,True,False,False,False,False,True,False
0,1,0,0,-0.06045170099299184,1,2,0,2,0,0,2,2,1,1.1620885575305409,0.3893438088593547,True,False,False,False,False,True,False
1,0,0,0,-0.10115743583158582,1,0,2,2,2,0,0,0,1,0.642766294637098,0.061108027956093984,True,False,False,False,True,False,False
1,0,0,0,0.8350744654560759,1,2,1,1,1,1,1,1,0,-1.3382905165283026,-0.44771118404233,False,True,False,True,False,False,True
0,0,0,0,-1.1188008067964355,1,0,0,2,0,2,0,2,1,0.8103431270723621,-0.8063330725955483,True,False,False,False,False,True,False
1,1,0,0,0.7536629957788878,1,2,0,2,0,0,0,0,1,0.4868036981131887,0.7351311320875006,True,False,True,False,False,False,False
0,0,1,0,1.5677776925507676,1,2,2,2,2,2,2,2,0,0.8086839505135972,1.7943447719664205,False,False,False,True,True,False,False
0,0,0,1,1.1607203441648277,1,2,1,1,1,1,1,1,1,-1.3250171040581826,-0.3514629138182404,False,True,False,True,True,False,False
1,1,0,0,-0.9966836022806536,1,0,0,2,0,0,0,0,1,0.31756768911915967,-0.7427745499515576,True,False,False,False,False,True,False
1,0,1,0,-0.9152721326034655,1,0,2,0,0,2,0,0,1,-0.3311703453579522,-0.7593168785927619,False,False,False,False,True,False,False
